"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"IRF3","3661","ENSG00000126456","interferon regulatory factor 3"
"PPP1R12B","4660","ENSG00000077157","protein phosphatase 1 regulatory subunit 12B"
"ASGR1","432","ENSG00000141505","asialoglycoprotein receptor 1"
"BTN2A1","11120","ENSG00000112763","butyrophilin subfamily 2 member A1"
"BTN2A2","10385","ENSG00000124508","butyrophilin subfamily 2 member A2"
"BCL7B","9275","ENSG00000106635","BAF chromatin remodeling complex subunit BCL7B"
"BTN3A2","11118","ENSG00000186470","butyrophilin subfamily 3 member A2"
"ORC3","23595","ENSG00000135336","origin recognition complex subunit 3"
"DOK1","1796","ENSG00000115325","docking protein 1"
"GABPA","2551","ENSG00000154727","GA binding protein transcription factor subunit alpha"
"MCL1","4170","ENSG00000143384","MCL1 apoptosis regulator, BCL2 family member"
"ARNT","405","ENSG00000143437","aryl hydrocarbon receptor nuclear translocator"
"BIK","638","ENSG00000100290","BCL2 interacting killer"
"OXR1","55074","ENSG00000164830","oxidation resistance 1"
"LMNB1","4001","ENSG00000113368","lamin B1"
"SIGLEC9","27180","ENSG00000129450","sialic acid binding Ig like lectin 9"
"DNAJC27","51277","ENSG00000115137","DnaJ heat shock protein family (Hsp40) member C27"
"ADCY4","196883","ENSG00000129467","adenylate cyclase 4"
"ATP6V0C","527","ENSG00000185883","ATPase H+ transporting V0 subunit c"
"JMJD7-PLA2G4B","8681","ENSG00000168970","JMJD7-PLA2G4B readthrough"
"MAP7","9053","ENSG00000135525","microtubule associated protein 7"
"TNFSF13","8741","ENSG00000161955","TNF superfamily member 13"
"ARHGEF12","23365","ENSG00000196914","Rho guanine nucleotide exchange factor 12"
"LEPROT","54741","ENSG00000213625","leptin receptor overlapping transcript"
"AIFM2","84883","ENSG00000042286","AIF family member 2"
"RBBP7","5931","ENSG00000102054","RB binding protein 7, chromatin remodeling factor"
"GNGT2","2793","ENSG00000167083","G protein subunit gamma transducin 2"
"LY75-CD302","100526664","ENSG00000248672","LY75-CD302 readthrough"
"CD302","9936","ENSG00000241399","CD302 molecule"
"PI4KB","5298","ENSG00000143393","phosphatidylinositol 4-kinase beta"
"CUL2","8453","ENSG00000108094","cullin 2"
"POU2F1","5451","ENSG00000143190","POU class 2 homeobox 1"
"ARPC4-TTLL3","100526693","ENSG00000250151","ARPC4-TTLL3 readthrough"
"ASCC1","51008","ENSG00000138303","activating signal cointegrator 1 complex subunit 1"
"EIF4G3","8672","ENSG00000075151","eukaryotic translation initiation factor 4 gamma 3"
"MSANTD3","91283","ENSG00000066697","Myb/SANT DNA binding domain containing 3"
"SLC43A1","8501","ENSG00000149150","solute carrier family 43 member 1"
"RBM14","10432","ENSG00000239306","RNA binding motif protein 14"
"RBM12","10137","ENSG00000244462","RNA binding motif protein 12"
"CCT2","10576","ENSG00000166226","chaperonin containing TCP1 subunit 2"
"RBM4","5936","ENSG00000173933","RNA binding motif protein 4"
"RBM14-RBM4","100526737","ENSG00000248643","RBM14-RBM4 readthrough"
"FOXJ3","22887","ENSG00000198815","forkhead box J3"
"PACC1","55248","ENSG00000065600","proton activated chloride channel 1"
"CPNE1","8904","ENSG00000214078","copine 1"
"CAPN1","823","ENSG00000014216","calpain 1"
"ATP5MF-PTCD1","100526740","ENSG00000248919","ATP5MF-PTCD1 readthrough"
"YY1AP1","55249","ENSG00000163374","YY1 associated protein 1"
"PPFIBP1","8496","ENSG00000110841","PPFIA binding protein 1"
"ABCC10","89845","ENSG00000124574","ATP binding cassette subfamily C member 10"
"RNF103","7844","ENSG00000239305","ring finger protein 103"
"ZFYVE21","79038","ENSG00000100711","zinc finger FYVE-type containing 21"
"ECHDC2","55268","ENSG00000121310","enoyl-CoA hydratase domain containing 2"
"KIAA1522",NA,NA,NA
"SMAP2","64744","ENSG00000084070","small ArfGAP2"
"NFS1","9054","ENSG00000244005","NFS1 cysteine desulfurase"
"NADK","65220","ENSG00000008130","NAD kinase"
"PRDM1","639","ENSG00000057657","PR/SET domain 1"
"STPG1","90529","ENSG00000001460","sperm tail PG-rich repeat containing 1"
"CCP110","9738","ENSG00000103540","centriolar coiled-coil protein 110"
"CDIP1","29965","ENSG00000089486","cell death inducing p53 target 1"
"ARPIN-AP3S2","100526783","ENSG00000250021","ARPIN-AP3S2 readthrough"
"BAIAP3","8938","ENSG00000007516","BAI1 associated protein 3"
"TBC1D24","57465","ENSG00000162065","TBC1 domain family member 24"
"RPP21","79897","ENSG00000241370","ribonuclease P/MRP subunit p21"
"COPS3","8533","ENSG00000141030","COP9 signalosome subunit 3"
"TANK","10010","ENSG00000136560","TRAF family member associated NFKB activator"
"NLRC4","58484","ENSG00000091106","NLR family CARD domain containing 4"
"AMMECR1L","83607","ENSG00000144233","AMMECR1 like"
"LTF","4057","ENSG00000012223","lactotransferrin"
"KAT7","11143","ENSG00000136504","lysine acetyltransferase 7"
"PI16","221476","ENSG00000164530","peptidase inhibitor 16"
"USP19","10869","ENSG00000172046","ubiquitin specific peptidase 19"
"PSMC5","5705","ENSG00000087191","proteasome 26S subunit, ATPase 5"
"MLST8","64223","ENSG00000167965","MTOR associated protein, LST8 homolog"
"ARMC6","93436","ENSG00000105676","armadillo repeat containing 6"
"TBC1D23","55773","ENSG00000036054","TBC1 domain family member 23"
"AK2","204","ENSG00000004455","adenylate kinase 2"
"GPANK1","7918","ENSG00000204438","G-patch domain and ankyrin repeats 1"
"TOR1AIP2","163590","ENSG00000169905","torsin 1A interacting protein 2"
"UCHL5","51377","ENSG00000116750","ubiquitin C-terminal hydrolase L5"
"CABIN1","23523","ENSG00000099991","calcineurin binding protein 1"
"LRBA","987","ENSG00000198589","LPS responsive beige-like anchor protein"
"ZNF549","256051","ENSG00000121406","zinc finger protein 549"
"UIMC1","51720","ENSG00000087206","ubiquitin interaction motif containing 1"
"CNOT2","4848","ENSG00000111596","CCR4-NOT transcription complex subunit 2"
"CMTM2","146225","ENSG00000140932","CKLF like MARVEL transmembrane domain containing 2"
"BLOC1S5","63915","ENSG00000188428","biogenesis of lysosomal organelles complex 1 subunit 5"
"ZNF615","284370","ENSG00000197619","zinc finger protein 615"
"RPL17-C18orf32","100526842","ENSG00000215472","RPL17-C18orf32 readthrough"
"GBF1","8729","ENSG00000107862","golgi brefeldin A resistant guanine nucleotide exchange factor 1"
"RNF145","153830","ENSG00000145860","ring finger protein 145"
"NEK1","4750","ENSG00000137601","NIMA related kinase 1"
"TRAF3","7187","ENSG00000131323","TNF receptor associated factor 3"
"NIP7","51388","ENSG00000132603","nucleolar pre-rRNA processing protein NIP7"
"PDCD2","5134","ENSG00000071994","programmed cell death 2"
"ISY1","57461","ENSG00000240682","ISY1 splicing factor homolog"
"ZSCAN9","7746","ENSG00000137185","zinc finger and SCAN domain containing 9"
"PDCD4","27250","ENSG00000150593","programmed cell death 4"
"TGIF2","60436","ENSG00000118707","TGFB induced factor homeobox 2"
"RAB5IF","55969","ENSG00000101084","RAB5 interacting factor"
"TGIF2-RAB5IF","100527943","ENSG00000259399","TGIF2-RAB5IF readthrough"
"TRIM22","10346","ENSG00000132274","tripartite motif containing 22"
"GIMAP1-GIMAP5","100527949","ENSG00000281887","GIMAP1-GIMAP5 readthrough"
"SUN2","25777","ENSG00000100242","Sad1 and UNC84 domain containing 2"
"PMF1","11243","ENSG00000160783","polyamine modulated factor 1"
"LETM2","137994","ENSG00000165046","leucine zipper and EF-hand containing transmembrane protein 2"
"PMF1-BGLAP","100527963","ENSG00000260238","PMF1-BGLAP readthrough"
"TLCD4","148534","ENSG00000152078","TLC domain containing 4"
"TLCD4-RWDD3","100527978","ENSG00000271092","TLCD4-RWDD3 readthrough"
"SLC4A2","6522","ENSG00000164889","solute carrier family 4 member 2"
"DHX33","56919","ENSG00000005100","DEAH-box helicase 33"
"CTSS","1520","ENSG00000163131","cathepsin S"
"GADD45A","1647","ENSG00000116717","growth arrest and DNA damage inducible alpha"
"DCTN5","84516","ENSG00000166847","dynactin subunit 5"
"ARL2","402","ENSG00000213465","ARF like GTPase 2"
"PPP2R5A","5525","ENSG00000066027","protein phosphatase 2 regulatory subunit B'alpha"
"MTHFS","10588","ENSG00000136371","methenyltetrahydrofolate synthetase"
"ST20-MTHFS","100528021","ENSG00000259332","ST20-MTHFS readthrough"
"OTX1","5013","ENSG00000115507","orthodenticle homeobox 1"
"RDH5","5959","ENSG00000135437","retinol dehydrogenase 5"
"PSMA5","5686","ENSG00000143106","proteasome 20S subunit alpha 5"
"CPD","1362","ENSG00000108582","carboxypeptidase D"
"POC1B","282809","ENSG00000139323","POC1 centriolar protein B"
"POC1B-GALNT4","100528030","ENSG00000259075","POC1B-GALNT4 readthrough"
"SLC35E2A","9906",NA,"solute carrier family 35 member E2A (pseudogene)"
"PTPN7","5778","ENSG00000143851","protein tyrosine phosphatase non-receptor type 7"
"CENPO","79172","ENSG00000138092","centromere protein O"
"KLRC4-KLRK1","100528032","ENSG00000213809","KLRC4-KLRK1 readthrough"
"INTS7","25896","ENSG00000143493","integrator complex subunit 7"
"MDP1","145553","ENSG00000213920","magnesium dependent phosphatase 1"
"SNX10","29887","ENSG00000086300","sorting nexin 10"
"BCL2L2","599","ENSG00000129473","BCL2 like 2"
"SMURF1","57154","ENSG00000198742","SMAD specific E3 ubiquitin protein ligase 1"
"DAP3","7818","ENSG00000132676","death associated protein 3"
"AK3","50808","ENSG00000147853","adenylate kinase 3"
"KCNAB2","8514","ENSG00000069424","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"KIF16B","55614","ENSG00000089177","kinesin family member 16B"
"MARK4","57787","ENSG00000007047","microtubule affinity regulating kinase 4"
"GLRX3","10539","ENSG00000108010","glutaredoxin 3"
"B4GALT3","8703","ENSG00000158850","beta-1,4-galactosyltransferase 3"
"PDK2","5164","ENSG00000005882","pyruvate dehydrogenase kinase 2"
"PGM3","5238","ENSG00000013375","phosphoglucomutase 3"
"SIAE","54414","ENSG00000110013","sialic acid acetylesterase"
"SESN1","27244","ENSG00000080546","sestrin 1"
"DOP1A","23033","ENSG00000083097","DOP1 leucine zipper like protein A"
"SH3GL1","6455","ENSG00000141985","SH3 domain containing GRB2 like 1, endophilin A2"
"ACTG1","71","ENSG00000184009","actin gamma 1"
"NDUFB5","4711","ENSG00000136521","NADH:ubiquinone oxidoreductase subunit B5"
"RPL36A-HNRNPH2","100529097","ENSG00000257529","RPL36A-HNRNPH2 readthrough"
"NDUFS1","4719","ENSG00000023228","NADH:ubiquinone oxidoreductase core subunit S1"
"NDUFB6","4712","ENSG00000165264","NADH:ubiquinone oxidoreductase subunit B6"
"NAA80","24142","ENSG00000243477","N-alpha-acetyltransferase 80, NatH catalytic subunit"
"HYAL3","8372","ENSG00000186792","hyaluronidase 3"
"NMNAT3","349565","ENSG00000163864","nicotinamide nucleotide adenylyltransferase 3"
"NPL","80896","ENSG00000135838","N-acetylneuraminate pyruvate lyase"
"BMP2","650","ENSG00000125845","bone morphogenetic protein 2"
"PPP1R3B","79660","ENSG00000173281","protein phosphatase 1 regulatory subunit 3B"
"GCFC2","6936","ENSG00000005436","GC-rich sequence DNA-binding factor 2"
"SAFB","6294","ENSG00000160633","scaffold attachment factor B"
"HMGN3","9324","ENSG00000118418","high mobility group nucleosomal binding domain 3"
"RNF14","9604","ENSG00000013561","ring finger protein 14"
"DNAL1","83544","ENSG00000119661","dynein axonemal light chain 1"
"RNF7","9616","ENSG00000114125","ring finger protein 7"
"CNTNAP3B","728577","ENSG00000154529","contactin associated protein family member 3B"
"WASF2","10163","ENSG00000158195","WASP family member 2"
"ZNF778","197320","ENSG00000170100","zinc finger protein 778"
"DAAM2","23500","ENSG00000146122","dishevelled associated activator of morphogenesis 2"
"GORASP2","26003","ENSG00000115806","golgi reassembly stacking protein 2"
"ZNF513","130557","ENSG00000163795","zinc finger protein 513"
"ROPN1L","83853","ENSG00000145491","rhophilin associated tail protein 1 like"
"CORO7","79585","ENSG00000262246","coronin 7"
"C18orf21","83608","ENSG00000141428","chromosome 18 open reading frame 21"
"NETO2","81831","ENSG00000171208","neuropilin and tolloid like 2"
"CORO7-PAM16","100529144","ENSG00000103426","CORO7-PAM16 readthrough"
"OSBPL6","114880","ENSG00000079156","oxysterol binding protein like 6"
"ENO1","2023","ENSG00000074800","enolase 1"
"TAF1A","9015","ENSG00000143498","TATA-box binding protein associated factor, RNA polymerase I subunit A"
"RBM15","64783","ENSG00000162775","RNA binding motif protein 15"
"ZNF821","55565","ENSG00000102984","zinc finger protein 821"
"PLRG1","5356","ENSG00000171566","pleiotropic regulator 1"
"SEC22C","9117","ENSG00000093183","SEC22 homolog C, vesicle trafficking protein"
"NUBPL","80224","ENSG00000151413","NUBP iron-sulfur cluster assembly factor, mitochondrial"
"PLSCR3","57048","ENSG00000187838","phospholipid scramblase 3"
"ASB6","140459","ENSG00000148331","ankyrin repeat and SOCS box containing 6"
"ZNF559","84527","ENSG00000188321","zinc finger protein 559"
"AKR1A1","10327","ENSG00000117448","aldo-keto reductase family 1 member A1"
"TRMT1L","81627","ENSG00000121486","tRNA methyltransferase 1L"
"ASB2","51676","ENSG00000100628","ankyrin repeat and SOCS box containing 2"
"EDRF1","26098","ENSG00000107938","erythroid differentiation regulatory factor 1"
"NCR3LG1","374383","ENSG00000188211","natural killer cell cytotoxicity receptor 3 ligand 1"
"ZNF816","125893","ENSG00000180257","zinc finger protein 816"
"ZMYND11","10771","ENSG00000015171","zinc finger MYND-type containing 11"
"NIPSNAP2","2631","ENSG00000146729","nipsnap homolog 2"
"RPS10-NUDT3","100529239","ENSG00000270800","RPS10-NUDT3 readthrough"
"UBE2E1","7324","ENSG00000170142","ubiquitin conjugating enzyme E2 E1"
"HSPE1-MOB4","100529241","ENSG00000270757","HSPE1-MOB4 readthrough"
"UBE2G2","7327","ENSG00000184787","ubiquitin conjugating enzyme E2 G2"
"UBE2H","7328","ENSG00000186591","ubiquitin conjugating enzyme E2 H"
"NIPSNAP1","8508","ENSG00000184117","nipsnap homolog 1"
"CTDP1","9150","ENSG00000060069","CTD phosphatase subunit 1"
"MXD1","4084","ENSG00000059728","MAX dimerization protein 1"
"DDR1","780","ENSG00000204580","discoidin domain receptor tyrosine kinase 1"
"CUX1","1523","ENSG00000257923","cut like homeobox 1"
"PIGV","55650","ENSG00000060642","phosphatidylinositol glycan anchor biosynthesis class V"
"CHURC1-FNTB","100529261","ENSG00000125954","CHURC1-FNTB readthrough"
"EZH2","2146","ENSG00000106462","enhancer of zeste 2 polycomb repressive complex 2 subunit"
"ZNF20","7568","ENSG00000132010","zinc finger protein 20"
"MTA1","9112","ENSG00000182979","metastasis associated 1"
"COMMD3-BMI1","100532731","ENSG00000269897","COMMD3-BMI1 readthrough"
"CHURC1","91612","ENSG00000258289","churchill domain containing 1"
"UBE4A","9354","ENSG00000110344","ubiquitination factor E4A"
"ATP6V1G2","534","ENSG00000213760","ATPase H+ transporting V1 subunit G2"
"MICOS10-NBL1","100532736","ENSG00000158747","MICOS10-NBL1 readthrough"
"PPT2","9374","ENSG00000221988","palmitoyl-protein thioesterase 2"
"BCL2L11","10018","ENSG00000153094","BCL2 like 11"
"CLEC17A","388512","ENSG00000187912","C-type lectin domain containing 17A"
"LRMP",NA,NA,NA
"MBD1","4152","ENSG00000141644","methyl-CpG binding domain protein 1"
"HDAC9","9734","ENSG00000048052","histone deacetylase 9"
"SPHK2","56848","ENSG00000063176","sphingosine kinase 2"
"MDM4","4194","ENSG00000198625","MDM4 regulator of p53"
"C8orf44-SGK3","100533105","ENSG00000288602","C8orf44-SGK3 readthrough"
"ZHX1-C8orf76","100533106","ENSG00000259305","ZHX1-C8orf76 readthrough"
"SRP19","6728","ENSG00000153037","signal recognition particle 19"
"TBC1D10A","83874","ENSG00000099992","TBC1 domain family member 10A"
"SCARB2","950","ENSG00000138760","scavenger receptor class B member 2"
"PPP5C","5536","ENSG00000011485","protein phosphatase 5 catalytic subunit"
"ZNF664","144348","ENSG00000179195","zinc finger protein 664"
"ARHGAP19","84986","ENSG00000213390","Rho GTPase activating protein 19"
"PRLR","5618","ENSG00000113494","prolactin receptor"
"MGST2","4258","ENSG00000085871","microsomal glutathione S-transferase 2"
"PRPS1","5631","ENSG00000147224","phosphoribosyl pyrophosphate synthetase 1"
"BIVM-ERCC5","100533467","ENSG00000270181","BIVM-ERCC5 readthrough"
"LIMK1","3984","ENSG00000106683","LIM domain kinase 1"
"AP5S1","55317","ENSG00000125843","adaptor related protein complex 5 subunit sigma 1"
"CCPG1","9236","ENSG00000260916","cell cycle progression 1"
"PSMC2","5701","ENSG00000161057","proteasome 26S subunit, ATPase 2"
"RBAK","57786","ENSG00000146587","RB associated KRAB zinc finger"
"RBM10","8241","ENSG00000182872","RNA binding motif protein 10"
"CDRT4","284040","ENSG00000239704","CMT1A duplicated region transcript 4"
"TVP23C-CDRT4","100533496","ENSG00000259024","TVP23C-CDRT4 readthrough"
"CAMK2G","818","ENSG00000148660","calcium/calmodulin dependent protein kinase II gamma"
"FLT3LG","2323","ENSG00000090554","fms related receptor tyrosine kinase 3 ligand"
"DGKH","160851","ENSG00000102780","diacylglycerol kinase eta"
"EIF4A1","1973","ENSG00000161960","eukaryotic translation initiation factor 4A1"
"KIFAP3","22920","ENSG00000075945","kinesin associated protein 3"
"P2RX5","5026","ENSG00000083454","purinergic receptor P2X 5"
"SSR4","6748","ENSG00000180879","signal sequence receptor subunit 4"
"TAX1BP3","30851","ENSG00000213977","Tax1 binding protein 3"
"RFC1","5981","ENSG00000035928","replication factor C subunit 1"
"KCNH2","3757","ENSG00000055118","potassium voltage-gated channel subfamily H member 2"
"NT5E","4907","ENSG00000135318","5'-nucleotidase ecto"
"ZNF587","84914","ENSG00000198466","zinc finger protein 587"
"ZNF587B","100293516","ENSG00000269343","zinc finger protein 587B"
"XPNPEP3","63929","ENSG00000196236","X-prolyl aminopeptidase 3"
"ANO10","55129","ENSG00000160746","anoctamin 10"
"ZNF568","374900","ENSG00000198453","zinc finger protein 568"
"TNFAIP8L2-SCNM1","100534012","ENSG00000163156","TNFAIP8L2-SCNM1 readthrough"
"SCNM1","79005","ENSG00000163156","sodium channel modifier 1"
"ELOC","6921","ENSG00000154582","elongin C"
"NPEPL1","79716","ENSG00000215440","aminopeptidase like 1"
"BAG4","9530","ENSG00000156735","BAG cochaperone 4"
"UBE2D1","7321","ENSG00000072401","ubiquitin conjugating enzyme E2 D1"
"RAB43","339122","ENSG00000172780","RAB43, member RAS oncogene family"
"ISY1-RAB43","100534599","ENSG00000261796","ISY1-RAB43 readthrough"
"PBX1","5087","ENSG00000185630","PBX homeobox 1"
"BMPR2","659","ENSG00000204217","bone morphogenetic protein receptor type 2"
"MDM1","56890","ENSG00000111554","Mdm1 nuclear protein"
"ATG13","9776","ENSG00000175224","autophagy related 13"
"SLC19A1","6573","ENSG00000173638","solute carrier family 19 member 1"
"SORT1","6272","ENSG00000134243","sortilin 1"
"OCLN","100506658","ENSG00000197822","occludin"
"RAD54B","25788","ENSG00000197275","RAD54 homolog B"
"TTF1","7270","ENSG00000125482","transcription termination factor 1"
"STEAP4","79689","ENSG00000127954","STEAP4 metalloreductase"
"JAM3","83700","ENSG00000166086","junctional adhesion molecule 3"
"BNIP1","662","ENSG00000113734","BCL2 interacting protein 1"
"ATP5MD",NA,NA,NA
"MAVS","57506","ENSG00000088888","mitochondrial antiviral signaling protein"
"CASP10","843","ENSG00000003400","caspase 10"
"POLR1D","51082","ENSG00000186184","RNA polymerase I and III subunit D"
"IFI16","3428","ENSG00000163565","interferon gamma inducible protein 16"
"CHN1","1123","ENSG00000128656","chimerin 1"
"SELPLG","6404","ENSG00000110876","selectin P ligand"
"CHTOP","26097","ENSG00000160679","chromatin target of PRMT1"
"AKIP1","56672","ENSG00000166452","A-kinase interacting protein 1"
"SH3GLB1","51100","ENSG00000097033","SH3 domain containing GRB2 like, endophilin B1"
"IGSF8","93185","ENSG00000162729","immunoglobulin superfamily member 8"
"RIC3","79608","ENSG00000166405","RIC3 acetylcholine receptor chaperone"
"IRF6","3664","ENSG00000117595","interferon regulatory factor 6"
"PRKAG1","5571","ENSG00000181929","protein kinase AMP-activated non-catalytic subunit gamma 1"
"NSFL1C","55968","ENSG00000088833","NSFL1 cofactor"
"ARID4B","51742","ENSG00000054267","AT-rich interaction domain 4B"
"PKM","5315","ENSG00000067225","pyruvate kinase M1/2"
"TP53I3","9540","ENSG00000115129","tumor protein p53 inducible protein 3"
"MAP2K5","5607","ENSG00000137764","mitogen-activated protein kinase kinase 5"
"KAT5","10524","ENSG00000172977","lysine acetyltransferase 5"
"TGOLN2","10618","ENSG00000152291","trans-golgi network protein 2"
"TFR2","7036","ENSG00000106327","transferrin receptor 2"
"CAPRIN2","65981","ENSG00000110888","caprin family member 2"
"STRADB","55437","ENSG00000082146","STE20 related adaptor beta"
"CTDSP1","58190","ENSG00000144579","CTD small phosphatase 1"
"CD86","942","ENSG00000114013","CD86 molecule"
"AGER","177","ENSG00000204305","advanced glycosylation end-product specific receptor"
"TCAF1","9747","ENSG00000198420","TRPM8 channel associated factor 1"
"RASSF1","11186","ENSG00000068028","Ras association domain family member 1"
"DHPS","1725","ENSG00000095059","deoxyhypusine synthase"
"KLF9","687","ENSG00000119138","KLF transcription factor 9"
"AFDN","4301","ENSG00000130396","afadin, adherens junction formation factor"
"CLEC12A","160364","ENSG00000172322","C-type lectin domain family 12 member A"
"PTPN2","5771","ENSG00000175354","protein tyrosine phosphatase non-receptor type 2"
"SERPINH1","871","ENSG00000149257","serpin family H member 1"
"SMTN","6525","ENSG00000183963","smoothelin"
"FCER2","2208","ENSG00000104921","Fc epsilon receptor II"
"M6PR","4074","ENSG00000003056","mannose-6-phosphate receptor, cation dependent"
"POU2F2","5452","ENSG00000028277","POU class 2 homeobox 2"
"RNF40","9810","ENSG00000103549","ring finger protein 40"
"ETV7","51513","ENSG00000010030","ETS variant transcription factor 7"
"CLASP2","23122","ENSG00000163539","cytoplasmic linker associated protein 2"
"ATRN","8455","ENSG00000088812","attractin"
"BACE1","23621","ENSG00000186318","beta-secretase 1"
"BZW1","9689","ENSG00000082153","basic leucine zipper and W2 domains 1"
"BUB1B","701","ENSG00000156970","BUB1 mitotic checkpoint serine/threonine kinase B"
"C1QBP","708","ENSG00000108561","complement C1q binding protein"
"ZNF48","197407","ENSG00000180035","zinc finger protein 48"
"CA11","770","ENSG00000063180","carbonic anhydrase 11"
"IKZF1","10320","ENSG00000185811","IKAROS family zinc finger 1"
"CAMK2D","817","ENSG00000145349","calcium/calmodulin dependent protein kinase II delta"
"CASP1","834","ENSG00000137752","caspase 1"
"CASP2","835","ENSG00000106144","caspase 2"
"CASP4","837","ENSG00000196954","caspase 4"
"CASP6","839","ENSG00000138794","caspase 6"
"CASP7","840","ENSG00000165806","caspase 7"
"CASP9","842","ENSG00000132906","caspase 9"
"CASQ1","844","ENSG00000143318","calsequestrin 1"
"CBR3","874","ENSG00000159231","carbonyl reductase 3"
"CCNA2","890","ENSG00000145386","cyclin A2"
"CCNH","902","ENSG00000134480","cyclin H"
"CCNT1","904","ENSG00000129315","cyclin T1"
"CCNT2","905","ENSG00000082258","cyclin T2"
"PITRM1","10531","ENSG00000107959","pitrilysin metallopeptidase 1"
"PDE7A","5150","ENSG00000205268","phosphodiesterase 7A"
"ATAD2B","54454","ENSG00000119778","ATPase family AAA domain containing 2B"
"VNN2","8875","ENSG00000112303","vanin 2"
"ODF2","4957","ENSG00000136811","outer dense fiber of sperm tails 2"
"SLC46A1","113235","ENSG00000076351","solute carrier family 46 member 1"
"ANAPC13","25847","ENSG00000129055","anaphase promoting complex subunit 13"
"DCP2","167227","ENSG00000172795","decapping mRNA 2"
"MAK","4117","ENSG00000111837","male germ cell associated kinase"
"TWF1","5756","ENSG00000151239","twinfilin actin binding protein 1"
"AHRR","57491","ENSG00000063438","aryl hydrocarbon receptor repressor"
"PRKCQ","5588","ENSG00000065675","protein kinase C theta"
"WDR20","91833","ENSG00000140153","WD repeat domain 20"
"FBXO32","114907","ENSG00000156804","F-box protein 32"
"PIK3R1","5295","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 1"
"ZNF345","25850","ENSG00000251247","zinc finger protein 345"
"EIF1AD","84285","ENSG00000175376","eukaryotic translation initiation factor 1A domain containing"
"ZSWIM8","23053","ENSG00000214655","zinc finger SWIM-type containing 8"
"FAM156A","29057","ENSG00000268350","family with sequence similarity 156 member A"
"MIF4GD","57409","ENSG00000125457","MIF4G domain containing"
"OSBPL1A","114876","ENSG00000141447","oxysterol binding protein like 1A"
"HLA-DPA1","3113","ENSG00000231389","major histocompatibility complex, class II, DP alpha 1"
"MFSD11","79157","ENSG00000092931","major facilitator superfamily domain containing 11"
"ANAPC16","119504","ENSG00000166295","anaphase promoting complex subunit 16"
"MAP4K4","9448","ENSG00000071054","mitogen-activated protein kinase kinase kinase kinase 4"
"TREM1","54210","ENSG00000124731","triggering receptor expressed on myeloid cells 1"
"TMEM147","10430","ENSG00000105677","transmembrane protein 147"
"RBM39","9584","ENSG00000131051","RNA binding motif protein 39"
"NXT2","55916","ENSG00000101888","nuclear transport factor 2 like export factor 2"
"RAB2A","5862","ENSG00000104388","RAB2A, member RAS oncogene family"
"PHACTR1","221692","ENSG00000112137","phosphatase and actin regulator 1"
"FNDC10","643988","ENSG00000228594","fibronectin type III domain containing 10"
"AHCYL1","10768","ENSG00000168710","adenosylhomocysteinase like 1"
"LOC100289561","100289561",NA,"uncharacterized LOC100289561"
"ZNF691","51058","ENSG00000164011","zinc finger protein 691"
"HLA-A","3105","ENSG00000206503","major histocompatibility complex, class I, A"
"MTHFD1L","25902","ENSG00000120254","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"
"TRIM26","7726","ENSG00000234127","tripartite motif containing 26"
"BRF1","2972","ENSG00000185024","BRF1 general transcription factor IIIB subunit"
"FLJ45513","729220",NA,"uncharacterized LOC729220"
"NUP93","9688","ENSG00000102900","nucleoporin 93"
"ZNF322","79692","ENSG00000181315","zinc finger protein 322"
"ZNF790","388536","ENSG00000197863","zinc finger protein 790"
"BTN3A3","10384","ENSG00000111801","butyrophilin subfamily 3 member A3"
"LOC100505549",NA,NA,NA
"ANKRD6","22881","ENSG00000135299","ankyrin repeat domain 6"
"DEF8","54849","ENSG00000140995","differentially expressed in FDCP 8 homolog"
"C4B_2","100293534","ENSG00000233312","complement component 4B (Chido/Rodgers blood group), copy 2"
"RNF41","10193","ENSG00000181852","ring finger protein 41"
"ELOVL5","60481","ENSG00000012660","ELOVL fatty acid elongase 5"
"ARFGAP2","84364","ENSG00000149182","ARF GTPase activating protein 2"
"AP2A2","161","ENSG00000183020","adaptor related protein complex 2 subunit alpha 2"
"RNF146","81847","ENSG00000118518","ring finger protein 146"
"ARFIP2","23647","ENSG00000132254","ARF interacting protein 2"
"PRKACB","5567","ENSG00000142875","protein kinase cAMP-activated catalytic subunit beta"
"PRMT2","3275","ENSG00000160310","protein arginine methyltransferase 2"
"KIR3DL2","3812","ENSG00000240403","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"
"ELP2","55250","ENSG00000134759","elongator acetyltransferase complex subunit 2"
"NAXD","55739","ENSG00000213995","NAD(P)HX dehydratase"
"ZBTB17","7709","ENSG00000116809","zinc finger and BTB domain containing 17"
"LOC100287036","100287036","ENSG00000261253","uncharacterized LOC100287036"
"ZKSCAN3","80317","ENSG00000189298","zinc finger with KRAB and SCAN domains 3"
"PPP6R2","9701","ENSG00000100239","protein phosphatase 6 regulatory subunit 2"
"AKAP1","8165","ENSG00000121057","A-kinase anchoring protein 1"
"MPPE1","65258","ENSG00000154889","metallophosphoesterase 1"
"ZFAND6","54469","ENSG00000086666","zinc finger AN1-type containing 6"
